,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
32,"('들어간', '다른', '유물')","('들어간', '다른', '잔재')","('들어간', '다른', '도자기')","('들어간', '또 다른', '유물')","('들어간', '또 다른', '잔재')","('들어간', '또 다른', '도자기')","('들어간', '이거 외의', '유물')","('들어간', '이거 외의', '잔재')","('들어간', '이거 외의', '도자기')","('들어간', '이거 말고 다른', '유물')","('들어간', '이거 말고 다른', '잔재')","('들어간', '이거 말고 다른', '도자기')","('들어간', '이거 아닌', '유물')","('들어간', '이거 아닌', '잔재')","('들어간', '이거 아닌', '도자기')","('들어간', '이 유물이 아닌', '유물')","('들어간', '이 유물이 아닌', '잔재')","('들어간', '이 유물이 아닌', '도자기')","('들어간', '이게 아닌', '유물')","('들어간', '이게 아닌', '잔재')","('들어간', '이게 아닌', '도자기')","('입혀진', '다른', '유물')","('입혀진', '다른', '잔재')","('입혀진', '다른', '도자기')","('입혀진', '또 다른', '유물')","('입혀진', '또 다른', '잔재')","('입혀진', '또 다른', '도자기')","('입혀진', '이거 외의', '유물')","('입혀진', '이거 외의', '잔재')","('입혀진', '이거 외의', '도자기')","('입혀진', '이거 말고 다른', '유물')","('입혀진', '이거 말고 다른', '잔재')","('입혀진', '이거 말고 다른', '도자기')","('입혀진', '이거 아닌', '유물')","('입혀진', '이거 아닌', '잔재')","('입혀진', '이거 아닌', '도자기')","('입혀진', '이 유물이 아닌', '유물')","('입혀진', '이 유물이 아닌', '잔재')","('입혀진', '이 유물이 아닌', '도자기')","('입혀진', '이게 아닌', '유물')","('입혀진', '이게 아닌', '잔재')","('입혀진', '이게 아닌', '도자기')","('사용된', '다른', '유물')","('사용된', '다른', '잔재')","('사용된', '다른', '도자기')","('사용된', '또 다른', '유물')","('사용된', '또 다른', '잔재')","('사용된', '또 다른', '도자기')","('사용된', '이거 외의', '유물')","('사용된', '이거 외의', '잔재')","('사용된', '이거 외의', '도자기')","('사용된', '이거 말고 다른', '유물')","('사용된', '이거 말고 다른', '잔재')","('사용된', '이거 말고 다른', '도자기')","('사용된', '이거 아닌', '유물')","('사용된', '이거 아닌', '잔재')","('사용된', '이거 아닌', '도자기')","('사용된', '이 유물이 아닌', '유물')","('사용된', '이 유물이 아닌', '잔재')","('사용된', '이 유물이 아닌', '도자기')","('사용된', '이게 아닌', '유물')","('사용된', '이게 아닌', '잔재')","('사용된', '이게 아닌', '도자기')","('사용한', '다른', '유물')","('사용한', '다른', '잔재')","('사용한', '다른', '도자기')","('사용한', '또 다른', '유물')","('사용한', '또 다른', '잔재')","('사용한', '또 다른', '도자기')","('사용한', '이거 외의', '유물')","('사용한', '이거 외의', '잔재')","('사용한', '이거 외의', '도자기')","('사용한', '이거 말고 다른', '유물')","('사용한', '이거 말고 다른', '잔재')","('사용한', '이거 말고 다른', '도자기')","('사용한', '이거 아닌', '유물')","('사용한', '이거 아닌', '잔재')","('사용한', '이거 아닌', '도자기')","('사용한', '이 유물이 아닌', '유물')","('사용한', '이 유물이 아닌', '잔재')","('사용한', '이 유물이 아닌', '도자기')","('사용한', '이게 아닌', '유물')","('사용한', '이게 아닌', '잔재')","('사용한', '이게 아닌', '도자기')","('사용했던', '다른', '유물')","('사용했던', '다른', '잔재')","('사용했던', '다른', '도자기')","('사용했던', '또 다른', '유물')","('사용했던', '또 다른', '잔재')","('사용했던', '또 다른', '도자기')","('사용했던', '이거 외의', '유물')","('사용했던', '이거 외의', '잔재')","('사용했던', '이거 외의', '도자기')","('사용했던', '이거 말고 다른', '유물')","('사용했던', '이거 말고 다른', '잔재')","('사용했던', '이거 말고 다른', '도자기')","('사용했던', '이거 아닌', '유물')","('사용했던', '이거 아닌', '잔재')","('사용했던', '이거 아닌', '도자기')","('사용했던', '이 유물이 아닌', '유물')","('사용했던', '이 유물이 아닌', '잔재')","('사용했던', '이 유물이 아닌', '도자기')","('사용했던', '이게 아닌', '유물')","('사용했던', '이게 아닌', '잔재')","('사용했던', '이게 아닌', '도자기')"
33,"('어떤', '기법', '사용')","('어떤', '기법', '활용')","('어떤', '기법', '이용')","('어떤', '수법', '사용')","('어떤', '수법', '활용')","('어떤', '수법', '이용')","('어떤', '방법', '사용')","('어떤', '방법', '활용')","('어떤', '방법', '이용')","('어떤', '들어간 기법', '사용')","('어떤', '들어간 기법', '활용')","('어떤', '들어간 기법', '이용')","('어떤', '패턴', '사용')","('어떤', '패턴', '활용')","('어떤', '패턴', '이용')","('어느', '기법', '사용')","('어느', '기법', '활용')","('어느', '기법', '이용')","('어느', '수법', '사용')","('어느', '수법', '활용')","('어느', '수법', '이용')","('어느', '방법', '사용')","('어느', '방법', '활용')","('어느', '방법', '이용')","('어느', '들어간 기법', '사용')","('어느', '들어간 기법', '활용')","('어느', '들어간 기법', '이용')","('어느', '패턴', '사용')","('어느', '패턴', '활용')","('어느', '패턴', '이용')","('무슨', '기법', '사용')","('무슨', '기법', '활용')","('무슨', '기법', '이용')","('무슨', '수법', '사용')","('무슨', '수법', '활용')","('무슨', '수법', '이용')","('무슨', '방법', '사용')","('무슨', '방법', '활용')","('무슨', '방법', '이용')","('무슨', '들어간 기법', '사용')","('무슨', '들어간 기법', '활용')","('무슨', '들어간 기법', '이용')","('무슨', '패턴', '사용')","('무슨', '패턴', '활용')","('무슨', '패턴', '이용')","('어떠한', '기법', '사용')","('어떠한', '기법', '활용')","('어떠한', '기법', '이용')","('어떠한', '수법', '사용')","('어떠한', '수법', '활용')","('어떠한', '수법', '이용')","('어떠한', '방법', '사용')","('어떠한', '방법', '활용')","('어떠한', '방법', '이용')","('어떠한', '들어간 기법', '사용')","('어떠한', '들어간 기법', '활용')","('어떠한', '들어간 기법', '이용')","('어떠한', '패턴', '사용')","('어떠한', '패턴', '활용')","('어떠한', '패턴', '이용')",사용한 기법,사용 기법,무슨 기법,어떤 기법,기법 알려줘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"('어떤', '태토')","('어떤', '기초가 되는 흙')","('어떤', '흙')","('어떤', '기본 흙')","('어떤', '기초 흙')","('어느', '태토')","('어느', '기초가 되는 흙')","('어느', '흙')","('어느', '기본 흙')","('어느', '기초 흙')","('무슨', '태토')","('무슨', '기초가 되는 흙')","('무슨', '흙')","('무슨', '기본 흙')","('무슨', '기초 흙')","('어떠한', '태토')","('어떠한', '기초가 되는 흙')","('어떠한', '흙')","('어떠한', '기본 흙')","('어떠한', '기초 흙')",태토 뭐야,태토 뭘까,사용한 태토,사용 태토,태토,뭘로 만들었어,무슨 흙으로 만들었어,어떤 흙을 사용했니,주재료,뭘로 만들,뭘로 만든거야,재료,"어떤, 재료",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,개수,"수가, 적은, 이유",수량,"몇, 있나요","몇, 있나",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"어떤, 무늬","주로, 무늬","주로, 사용, 무늬","주로, 사용한, 무늬",장식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"비슷한, 유물","다른, 있어",다른,"비슷한, 뭐가","비슷한, 도자기","다른, 궁금","다른, 있나","다른, 유물","만들어진, 없어","만들어진, 유물","만들어진, 있어","만들어진, 있나요","만들어진, 있을까요?","다른, 그릇","다른, 도자기","유물, 뭐가",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"색, 종류",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,생활상,배경,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"어떤, 차이","어떻게, 다른가","차이, 뭔가",차이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"주로, 모양","이런, 모양",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,한국,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"굽는, 온도","가마, 온도","가마의, 온도",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"나라, 사람","어디, 사람","어느나라, 사람","우리나라, 사람","우리나라",사람,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"동물, 의미",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"발견, 유물",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"누가, 사용","누가, 쓰던거야","누가, 쓴거야","어떤, 계층, 사용","무슨, 계층","계층",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,한국,"지금, 한국","한국, 있어","한국","한국, 있니",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"어떤, 작품",작품,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,운영시간,언제 열어요,언제 닫나요,운영 시간,"운영, 시간","무슨, 요일",시작,끝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"얼마나, 있나","몇개, 있나","몇, 종류","몇, 개",얼마나,개수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,무게,"무게, 얼마나","무게, 궁금해","무게, 어느정도",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,재질,"표면, 느낌",표면,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
